id,lost_date,location,item_description,image_url,claimed_by,grade_and_section,email,phone_number,turned_over_by,found_date,found_location,item_status
19,2024-11-17,12A ,Doraemon Wallet,https://img.lazcdn.com/g/p/a217e44b1790a93cb46e5e2e8247c9e0.jpg_960x960q80.jpg_.webp,,12A,alveene@lsca.edu.ph,09128737764,,,,Lost
20,,,Ugreen Type C Charger,https://dynaquestpc.com/cdn/shop/products/UGREENUSB2.0TypeCtoTypeCCable1mBLACKUS286-50997.jpg?v=1645520785&width=500,,Staff,josef@lsca.edu.ph,09872635454,,2024-11-18,12I,Lost
21,2024-11-14,12B,Airpods Pro 2,https://store.storeimages.cdn-apple.com/8756/as-images.apple.com/is/airpods-pro-2-202409-gallery-1?wid=2824&hei=2400&fmt=jpeg&qlt=90&.v=1726015508359,,12B,brienne@lsca.edu.ph,09928374652,,,,Lost
22,,,White Aquaflask,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ7YiUCk5y6MGuKBtnOK7jW-URj8WKAyoZ6AA&s,,12C,clarisse@lsca.edu.ph,09112324587,,2024-11-18,12C,Lost
23,2024-11-12,12D,Gray wallet with flower design,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQrgy-m0UvJLCKHrvW_ojRYf5eSoeYK9rk3VQ&s,,12D,deion@lsca.edu.ph,09273645464,,,,Lost
24,2024-11-11,12E,Realme 2 Pro (Blue),https://images.meesho.com/images/products/187288374/n9am0_512.webp,,12E,ellie@lsca.edu.ph,09987876756,,,,Lost
25,,,White Iphone Charger,https://store.storeimages.cdn-apple.com/8756/as-images.apple.com/is/MD819?wid=1144&hei=1144&fmt=jpeg&qlt=95&.v=1600799998000,,12F,frodo.baggins@lsca.edu.ph,09282736454,,2024-11-20,ASUS Computer Lab,Found
26,,,Iphone 9 (Pink) with Heuningkai lockscreen,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRebAWV1xolDRm1kmVC8OzZyvH680JXSKb-rg&s,,12G,gintama@lsca.edu.ph,09287787872,,2024-11-18,12G,Found
27,2024-11-15,ACER Computer Laboratory,Iphone 16 w/ cat phonecase,"https://ih1.redbubble.net/image.5480374002.8875/icr,iphone_16_tough,back,a,x600-pad,600x600,f8f8f8.jpg",,11D,daenerys@lsca.edu.ph,09500513533,,,,Lost
28,,,Huion Pen Tablet,https://www.huion.com.ph/cdn/shop/products/h640p-unleash-pic.jpg?v=1676947186,,12H,aegon@lsca.edu.ph,09287667367,,2024-11-20,12H,Found
29,2024-11-21,12I,Van Gogh Sketchbook,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRPqcd4xCfFE1EjPb0R0Kbhq7xpBVmywH6MGA&s,,12I,kirsten@lsca.edu.ph,09121237698,,,,Lost
30,,,Gray wallet,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQrgy-m0UvJLCKHrvW_ojRYf5eSoeYK9rk3VQ&s,,12B,seanmurray@lsca.edu.ph,09545637373,,2024-12-13,Basement 2 Hallway,Found
42,2025-02-08,12C,Sketchbook Van Gogh,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRPqcd4xCfFE1EjPb0R0Kbhq7xpBVmywH6MGA&s,,12C,vincent@lsca.edu.ph,09192837474,,,,Found
